262144
17552,24220
22709,1816
15997,14618
23560,7866
30008,13381
20748,6185
15232,21471
27678,19328
18120,31845
2855,25568
14565,31850
13229,23019
3561,16179
14433,6020
7241,3021
26804,13485
2258,9814
29443,22515
19856,16296
25359,10972
28565,21822
25801,22418
25562,246
16208,17972
6678,23348
15475,18417
11436,26472
1097,31561
3757,15805
25700,31267
6511,32709
26226,28633
7603,26825
32619,24569
27699,11773
19667,21399
25119,205
11699,17300
15791,26364
17346,32554
8572,23737
1159,24945
21307,27424
4170,28576
29232,19409
14736,14772
6250,29486
3553,19202
11789,30643
9594,11306
1912,30821
18286,8044
28383,10906
31868,27462
27852,27313
16574,14293
2215,15824
10394,13943
16574,10903
13144,29221
28828,10097
9938,16285
5482,31190
3574,5822
21551,26118
6329,9698
17429,30315
29591,26508
22035,31665
25238,27259
12893,5735
23850,12269
8826,4993
1841,18163
32577,8872
28947,20382
14948,11065
24916,24202
27422,8586
3490,6964
29588,31656
2453,10300
1562,17438
13664,14356
13644,13496
10783,25155
17197,21343
6409,16357
25879,2068
24287,9967
7149,2088
13302,5407
14214,24782
13202,23506
26707,22864
19491,18194
11730,27667
26377,74
1020,15276
9124,3442
26305,16766
23797,1656
25646,8874
21471,4645
25044,10846
10841,30522
15434,8458
22172,16230
21130,27772
17669,29000
17729,20468
16762,21254
20798,17269
20671,21827
18982,5220
28399,8817
18063,28148
14082,4029
28807,18311
1478,6890
9876,28579
15851,14166
29625,4199
2091,20630
18744,9944
28502,14070
3614,1724
15754,28531
1663,12248
16922,29916
6994,17823
31870,26216
22468,10031
922,32388
7112,30306
9667,15202
11417,3509
30968,5449
9049,16107
28601,4993
12522,3380
31321,1598
20934,8917
28326,1741
14931,22863
22885,31258
26646,4617
19007,32084
14637,30926
10143,16756
23194,17091
9619,3010
5900,11510
28263,12324
18638,2865
21377,20036
29765,6591
939,631
26290,21684
4617,3668
18759,30696
20340,31729
11255,30221
30933,29368
5736,17606
17650,32578
19124,31947
6199,17582
5742,14250
9833,25397
14960,17050
10635,1737
31943,1979
12770,9280
1889,4728
3124,12058
32643,12500
17039,25993
10702,21186
23059,17904
7254,4391
15369,10571
11787,24656
9904,8806
27866,5101
14608,28281
27203,1965
5967,135
21228,11483
31735,10285
25375,12713
31696,21376
10056,27927
10120,24297
10377,18601
27080,24992
30596,4229
6109,16180
9500,29512
11660,19712
25416,19161
4929,7840
22693,14744
25262,12848
8509,22544
14327,24112
10750,7281
18500,28293
5565,26160
31513,16330
29100,27223
30879,6890
11655,2841
19879,5602
21131,19992
10427,18232
16142,13065
14966,19069
28016,26549
7773,11191
15458,24927
16514,15200
15685,10246
17224,12358
27953,18258
26367,30029
5655,22336
12123,10070
15071,8961
22051,15423
20467,6497
23498,25430
19557,2929
19848,18726
30152,11427
8232,16288
22914,6908
11130,777
25522,20311
2709,23153
14574,6230
21880,17202
15631,12709
25504,19179
17796,2607
18831,19947
10285,17605
1837,20881
15422,17207
27094,31164
16328,32577
7939,15744
15907,11326
21733,13297
20884,26407
21660,20593
13614,25742
24416,11013
28651,17304
18411,13719
31306,10196
504,17587
21615,17278
4665,24760
749,15942
2406,16744
15312,3405
17111,25478
1153,21165
27847,11074
10302,2566
7122,1948
7844,13199
8889,14627
24470,11512
20317,1644
11913,9580
23791,29165
13232,6421
26446,28814
11531,16116
3529,12487
5820,4856
27550,2734
17292,21276
27163,10284
26650,13633
28775,31375
31370,14589
5994,15577
1269,11316
12707,29910
18292,20949
1448,25570
15545,18208
17383,10091
2638,6845
7527,23176
18094,2266
12792,16044
4019,25618
4225,1781
27460,17447
31885,12198
17074,27337
18996,17834
8712,22055
17120,11809
7313,6147
7590,8220
19276,27954
32539,20248
18166,18475
11731,10853
1108,23611
18781,32163
5484,27680
10962,29480
27547,15787
23396,9402
14922,3178
15489,28720
8206,32307
28189,29346
5919,29825
31458,19075
27274,6711
4834,25448
32139,17306
16356,8279
16160,25963
22510,28505
22145,22508
20,21042
27792,8907
21375,27275
32088,15380
22980,23088
16715,19838
18109,18062
18617,7290
10420,17135
28270,2746
30744,10839
28152,13970
23858,11563
26016,9668
29108,27966
1641,25881
30703,3902
14380,20750
10509,5562
3926,25860
10279,9076
5761,10739
14986,28905
916,4976
23377,12344
26555,18630
17452,20733
21234,13479
21643,2183
24847,23595
11239,29355
21475,1153
18672,5603
3232,25443
1572,23432
24207,32619
31537,3985
13851,16391
17602,17844
11456,4848
1612,29228
23151,20658
26700,22595
14333,18964
29605,27298
12792,14135
7158,18580
28005,6572
11264,13972
28240,1586
17581,26601
2722,16388
32120,26594
16175,21845
30582,26487
25942,10494
20504,22574
22433,14546
4929,5279
29265,15204
25343,3701
9677,26423
30685,30256
20166,26327
20770,5950
28299,26985
10360,1910
32721,9019
10554,11808
28502,12714
13335,21498
22290,2123
31969,18180
31,3744
20405,6601
25540,27012
27321,17941
14543,9152
16427,1294
25114,12472
